Discovered hosts
CPU使用情况
主机,CPU负载,最大值,最小值,平均值
192.168.3.124.novalocal,503.0,6.259999999999991,1.24%,6.269999999999982,1.25%,5.800000000000011,1.15%,6.21,1.23%
192.168.3.125.novalocal,503.0,5.3700000000000045,1.07%,5.389999999999986,1.07%,5.360000000000014,1.07%,5.38,1.07%
192.168.3.126.novalocal,503.0,4.649999999999977,0.92%,4.660000000000025,0.93%,4.649999999999977,0.92%,4.65,0.92%
192.168.3.127.novalocal,503.0,4.649999999999977,0.92%,4.660000000000025,0.93%,4.649999999999977,0.92%,4.66,0.93%
192.168.3.128.novalocal,503.0,4.649999999999977,0.92%,4.660000000000025,0.93%,4.649999999999977,0.92%,4.65,0.92%
192.168.3.129.novalocal,503.0,4.509999999999991,0.90%,4.759999999999991,0.95%,4.5,0.89%,4.51,0.90%
192.168.3.13.novalocal,251.62,66.06,26.25%,71.03,28.23%,65.95000000000002,26.21%,69.4,27.58%
192.168.3.14.novalocal,251.62,128.87,51.22%,134.29000000000002,53.37%,128.81,51.19%,132.36,52.60%
192.168.3.15.novalocal,251.62,129.19,51.34%,135.60000000000002,53.89%,127.44,50.65%,133.1,52.90%
192.168.3.16.novalocal,251.62,133.21,52.94%,134.26,53.36%,126.98,50.46%,132.42,52.63%
192.168.3.17.novalocal,251.62,127.88000000000001,50.82%,132.93,52.83%,125.92,50.04%,131.28,52.17%
192.168.3.18.novalocal,251.62,19.560000000000002,7.77%,94.68,37.63%,14.710000000000008,5.85%,34.92,13.88%
192.168.3.19.novalocal,251.62,10.430000000000007,4.15%,31.340000000000003,12.46%,5.710000000000008,2.27%,15.4,6.12%
192.168.3.20.novalocal,251.62,12.030000000000001,4.78%,12.590000000000003,5.00%,7.25,2.88%,9.84,3.91%
192.168.3.21.novalocal,251.62,7.950000000000017,3.16%,8.009999999999991,3.18%,3.259999999999991,1.30%,5.74,2.28%
192.168.3.22.novalocal,251.62,7.0800000000000125,2.81%,7.090000000000003,2.82%,2.420000000000016,0.96%,4.86,1.93%
192.168.3.23.novalocal,251.62,4.990000000000009,1.98%,9.909999999999997,3.94%,4.950000000000017,1.97%,7.54,3.00%
192.168.3.24.novalocal,251.62,7.060000000000002,2.81%,7.060000000000002,2.81%,2.3700000000000045,0.94%,4.81,1.91%
192.168.3.25.novalocal,251.62,2.3799999999999955,0.95%,7.069999999999993,2.81%,2.3700000000000045,0.94%,4.82,1.92%
192.168.3.26.novalocal,251.62,3.950000000000017,1.57%,3.969999999999999,1.58%,3.9099999999999966,1.55%,3.93,1.56%
192.168.3.27.novalocal,251.62,3.6599999999999966,1.45%,3.6599999999999966,1.45%,3.6500000000000057,1.45%,3.66,1.45%
192.168.3.28.novalocal,251.62,3.680000000000007,1.46%,3.680000000000007,1.46%,3.680000000000007,1.46%,3.68,1.46%
192.168.3.29.novalocal,251.62,3.8700000000000045,1.54%,3.8799999999999955,1.54%,3.8700000000000045,1.54%,3.88,1.54%
